id	cost	status	
1	0	3	
2	36224	0	
3	10626	0	
4	17366	0	
5	6905	0	
6	0	2	
7	45453	0	
8	38466	0	
9	0	2	
10	232197	2	
11	20766	2	
12	641152	2	
13	1686355	2	
14	26141	0	
15	0	2	
16	76459	0	
17	205793	0	
18	0	3	
19	138826	0	
20	0	2	
21	0	2	
22	2479	2	
23	2161	2	
24	755	2	
25	0	2	
26	990526	0	
27	74617	0	
28	649780	0	
29	278599	0	
30	209347	0	
31	394112	0	
32	2915	0	
33	326394	0	
34	144775	0	
35	162835	0	
36	9937	0	
37	0	2	
38	0	2	
39	31823	0	
40	9019	0	
41	76311	0	
42	275061	0	
43	106109	0	
44	0	2	
45	263494	0	
46	68980	0	
47	235705	0	
48	321655	0	
49	103362	0	
50	86608	0	
51	86243	0	
52	736768	0	
53	518517	2	
54	125511	2	
55	51063	0	
56	764760	0	
57	294847	0	
58	374977	0	
59	96518	0	
60	14349	0	
61	69189	0	
62	618590	0	
63	205131	0	
64	240745	0	
65	358542	0	
66	642619	0	
67	37146	0	
68	52019	0	
69	357819	0	
70	610102	0	
71	0	2	
72	0	2	
73	330575	0	
74	592432	0	
75	104146	2	
76	441885	0	
77	555739	2	
78	249569	0	
79	53565	0	
80	1336006	0	
81	98174	0	
82	354951	0	
83	302955	0	
84	8647	2	
85	226855	0	
86	81322	0	
87	2193559	0	
88	704	0	
89	33592	0	
90	13921	0	
91	84585	0	
92	43311	0	
93	540587	0	
94	139030	0	
95	288851	0	
96	38592	0	
97	513514	0	
98	25149	0	
99	475019	0	
100	184423	0	
101	112393	0	
102	117331	0	
103	686410	0	
104	45993	0	
105	24470	0	
106	23560	0	
107	359068	0	
108	123605	0	
109	146234	0	
110	44820	0	
111	213003	0	
112	396067	0	
113	330593	0	
114	28158	0	
115	24923	0	
116	255899	0	
117	1123	0	
118	51144	0	
119	85184	0	
120	37832	0	
121	566576	0	
122	289505	0	
123	299708	0	
124	202366	0	
125	572783	0	
126	39048	0	
127	38989	0	
128	385992	0	
129	227745	0	
130	470232	0	
131	582155	0	
132	829033	0	
133	156410	0	
134	156382	0	
135	308184	0	
136	70035	0	
137	96778	0	
138	83188	0	
139	419806	0	
140	453303	0	
141	931780	0	
142	1286346	0	
143	562796	0	
144	0	3	
145	507653	0	
146	100184	0	
147	85244	0	
148	185762	0	
149	134	0	
150	73980	0	
151	0	2	
152	10188	0	
153	0	2	
154	0	2	
155	0	2	
156	0	2	
157	0	2	
158	20290	0	
159	48667	0	
160	11429	0	
161	0	2	
162	0	2	
163	0	2	
164	0	2	
165	0	2	
166	0	2	
167	2077	0	
168	422	0	
169	19604	0	
170	8354	0	
171	8645	0	
172	72382	0	
173	4629	0	
174	33487	0	
175	0	2	
176	24551	2	
177	0	2	
178	0	2	
179	0	2	
180	0	2	
181	595	0	
182	142	0	
183	10855	0	
184	40176	0	
185	14629	0	
186	24428	0	
187	84353	0	
188	22491	0	
189	0	2	
190	29157	0	
191	42769	0	
192	43897	2	
193	155249	2	
194	217777	0	
195	103292	0	
196	97574	0	
197	54641	0	
198	963015	0	
199	4613	0	
200	266	0	
201	78637	0	
202	498845	0	
203	151924	0	
204	2315	0	
205	35	0	
206	101119	2	
207	53178	2	
208	111916	2	
209	219931	2	
210	55126	2	
211	418868	0	
212	0	3	
213	163625	0	
214	0	3	
215	50649	0	
216	31307	0	
217	5172	0	
218	9065	0	
219	205290	0	
220	49547	0	
221	2358	0	
222	19	0	
223	47758	0	
224	218096	0	
225	311264	0	
226	187288	0	
227	0	3	
228	7086	0	
229	122925	0	
230	94347	0	
231	210493	2	
232	0	2	
233	0	2	
234	19712	0	
235	7561	0	
236	23285	0	
237	53778	0	
238	6359	0	
239	624996	0	
240	624978	2	
241	168611	0	
242	0	2	
243	0	2	
244	420401	0	
245	4271	0	
246	2284	0	
247	63449	0	
248	31402	0	
249	8025	0	
250	22811	0	
251	445	0	
252	213	0	
253	11569	0	
254	16069	0	
255	134410	0	
256	332781	0	
257	107703	0	
258	63559	0	
259	283631	0	
260	299515	0	
261	5786	0	
262	1476	0	
263	28	3	
264	70	0	
265	49	0	
266	2441	0	
267	17020	0	
268	241169	0	
269	157753	0	
270	64345	0	
271	111764	0	
272	540124	0	
273	291317	0	
274	63292	0	
275	180074	0	
276	51945	0	
277	917218	0	
278	265522	0	
279	241426	0	
280	207885	0	
281	320866	0	
282	18204	0	
283	0	2	
284	0	2	
285	0	2	
286	0	2	
287	0	2	
288	0	2	
289	0	2	
290	0	2	
291	0	2	
292	0	2	
293	0	2	
294	0	2	
295	0	3	
296	0	2	
297	0	2	
298	0	2	
299	0	3	
300	15089	0	
301	0	2	
302	0	2	
303	0	2	
304	0	2	
305	0	2	
306	0	3	
307	0	2	
308	0	2	
309	0	2	
310	0	2	
311	0	2	
312	0	2	
313	27682	0	
314	0	2	
315	0	2	
316	60987	0	
