Spec_ID,pu id,Type,Status,,,,,,,,,,,,,,,,,,,
910,121,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,484,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,591,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,287,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,541,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,584,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,144,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,197,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,159,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,282,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,78,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,77,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,462,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,71,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,301,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,326,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,328,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,329,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,330,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,312,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,614,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,613,Ponds,N/A,,,,,,,,,,,,,,,,,,,
910,69,Ponds,N/A,,,,,,,,,,,,,,,,,,,
908,21,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,25,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,434,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,433,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,9,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,14,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,16,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,17,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,18,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,431,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,432,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,444,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,15,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,1,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,32,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,33,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,35,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
908,42,Baywood Fine Sands,N/A,,,,,,,,,,,,,,,,,,,
