species,pu,amount,,,,,,,,,,,,,,,,,,,,
910,121,1,,,,,,,,,,,,,,,,,,,,
910,484,1,,,,,,,,,,,,,,,,,,,,
910,591,1,,,,,,,,,,,,,,,,,,,,
910,287,1,,,,,,,,,,,,,,,,,,,,
910,541,1,,,,,,,,,,,,,,,,,,,,
910,584,1,,,,,,,,,,,,,,,,,,,,
910,144,1,,,,,,,,,,,,,,,,,,,,
910,197,1,,,,,,,,,,,,,,,,,,,,
910,159,1,,,,,,,,,,,,,,,,,,,,
910,282,1,,,,,,,,,,,,,,,,,,,,
910,78,1,,,,,,,,,,,,,,,,,,,,
910,77,1,,,,,,,,,,,,,,,,,,,,
910,462,1,,,,,,,,,,,,,,,,,,,,
910,71,1,,,,,,,,,,,,,,,,,,,,
910,301,1,,,,,,,,,,,,,,,,,,,,
910,326,1,,,,,,,,,,,,,,,,,,,,
910,328,1,,,,,,,,,,,,,,,,,,,,
910,329,1,,,,,,,,,,,,,,,,,,,,
910,330,1,,,,,,,,,,,,,,,,,,,,
910,312,1,,,,,,,,,,,,,,,,,,,,
910,614,1,,,,,,,,,,,,,,,,,,,,
910,613,1,,,,,,,,,,,,,,,,,,,,
910,69,1,,,,,,,,,,,,,,,,,,,,
908,21,1,,,,,,,,,,,,,,,,,,,,
908,25,1,,,,,,,,,,,,,,,,,,,,
908,434,1,,,,,,,,,,,,,,,,,,,,
908,433,1,,,,,,,,,,,,,,,,,,,,
908,9,1,,,,,,,,,,,,,,,,,,,,
908,14,1,,,,,,,,,,,,,,,,,,,,
908,16,1,,,,,,,,,,,,,,,,,,,,
908,17,1,,,,,,,,,,,,,,,,,,,,
908,18,1,,,,,,,,,,,,,,,,,,,,
908,431,1,,,,,,,,,,,,,,,,,,,,
908,432,1,,,,,,,,,,,,,,,,,,,,
908,444,1,,,,,,,,,,,,,,,,,,,,
908,15,1,,,,,,,,,,,,,,,,,,,,
908,1,1,,,,,,,,,,,,,,,,,,,,
908,32,1,,,,,,,,,,,,,,,,,,,,
908,33,1,,,,,,,,,,,,,,,,,,,,
908,35,1,,,,,,,,,,,,,,,,,,,,
908,42,1,,,,,,,,,,,,,,,,,,,,
908,46,1,,,,,,,,,,,,,,,,,,,,
908,339,1,,,,,,,,,,,,,,,,,,,,
908,343,1,,,,,,,,,,,,,,,,,,,,
908,348,1,,,,,,,,,,,,,,,,,,,,
908,349,1,,,,,,,,,,,,,,,,,,,,
908,350,1,,,,,,,,,,,,,,,,,,,,
908,355,1,,,,,,,,,,,,,,,,,,,,
908,356,1,,,,,,,,,,,,,,,,,,,,
908,357,1,,,,,,,,,,,,,,,,,,,,
908,358,1,,,,,,,,,,,,,,,,,,,,
908,359,1,,,,,,,,,,,,,,,,,,,,
908,360,1,,,,,,,,,,,,,,,,,,,,
908,361,1,,,,,,,,,,,,,,,,,,,,
908,362,1,,,,,,,,,,,,,,,,,,,,
908,363,1,,,,,,,,,,,,,,,,,,,,
908,364,1,,,,,,,,,,,,,,,,,,,,
908,365,1,,,,,,,,,,,,,,,,,,,,
908,367,1,,,,,,,,,,,,,,,,,,,,
908,368,1,,,,,,,,,,,,,,,,,,,,
908,369,1,,,,,,,,,,,,,,,,,,,,
908,370,1,,,,,,,,,,,,,,,,,,,,
908,398,1,,,,,,,,,,,,,,,,,,,,
908,399,1,,,,,,,,,,,,,,,,,,,,
908,400,1,,,,,,,,,,,,,,,,,,,,
908,401,1,,,,,,,,,,,,,,,,,,,,
908,402,1,,,,,,,,,,,,,,,,,,,,
908,403,1,,,,,,,,,,,,,,,,,,,,
908,404,1,,,,,,,,,,,,,,,,,,,,
908,405,1,,,,,,,,,,,,,,,,,,,,
908,406,1,,,,,,,,,,,,,,,,,,,,
908,407,1,,,,,,,,,,,,,,,,,,,,
908,408,1,,,,,,,,,,,,,,,,,,,,
908,409,1,,,,,,,,,,,,,,,,,,,,
908,438,1,,,,,,,,,,,,,,,,,,,,
908,439,1,,,,,,,,,,,,,,,,,,,,
908,441,1,,,,,,,,,,,,,,,,,,,,
908,627,1,,,,,,,,,,,,,,,,,,,,
908,629,1,,,,,,,,,,,,,,,,,,,,
908,631,1,,,,,,,,,,,,,,,,,,,,
908,635,1,,,,,,,,,,,,,,,,,,,,
908,638,1,,,,,,,,,,,,,,,,,,,,
908,639,1,,,,,,,,,,,,,,,,,,,,
908,641,1,,,,,,,,,,,,,,,,,,,,
908,642,1,,,,,,,,,,,,,,,,,,,,
908,643,1,,,,,,,,,,,,,,,,,,,,
908,644,1,,,,,,,,,,,,,,,,,,,,
908,645,1,,,,,,,,,,,,,,,,,,,,
908,646,1,,,,,,,,,,,,,,,,,,,,
908,648,1,,,,,,,,,,,,,,,,,,,,
908,649,1,,,,,,,,,,,,,,,,,,,,
908,650,1,,,,,,,,,,,,,,,,,,,,
908,651,1,,,,,,,,,,,,,,,,,,,,
908,652,1,,,,,,,,,,,,,,,,,,,,
908,653,1,,,,,,,,,,,,,,,,,,,,
908,654,1,,,,,,,,,,,,,,,,,,,,
908,655,1,,,,,,,,,,,,,,,,,,,,
908,656,1,,,,,,,,,,,,,,,,,,,,
908,661,1,,,,,,,,,,,,,,,,,,,,
908,662,1,,,,,,,,,,,,,,,,,,,,
908,663,1,,,,,,,,,,,,,,,,,,,,
908,665,1,,,,,,,,,,,,,,,,,,,,
908,667,1,,,,,,,,,,,,,,,,,,,,
908,668,1,,,,,,,,,,,,,,,,,,,,
908,2,1,,,,,,,,,,,,,,,,,,,,
908,5,1,,,,,,,,,,,,,,,,,,,,
908,6,1,,,,,,,,,,,,,,,,,,,,
908,8,1,,,,,,,,,,,,,,,,,,,,
908,26,1,,,,,,,,,,,,,,,,,,,,
908,39,1,,,,,,,,,,,,,,,,,,,,
908,435,1,,,,,,,,,,,,,,,,,,,,
908,52,1,,,,,,,,,,,,,,,,,,,,
908,351,1,,,,,,,,,,,,,,,,,,,,
908,352,1,,,,,,,,,,,,,,,,,,,,
908,628,1,,,,,,,,,,,,,,,,,,,,
908,630,1,,,,,,,,,,,,,,,,,,,,
908,632,1,,,,,,,,,,,,,,,,,,,,
908,634,1,,,,,,,,,,,,,,,,,,,,
908,664,1,,,,,,,,,,,,,,,,,,,,
908,340,1,,,,,,,,,,,,,,,,,,,,
908,344,1,,,,,,,,,,,,,,,,,,,,
908,345,1,,,,,,,,,,,,,,,,,,,,
908,354,1,,,,,,,,,,,,,,,,,,,,
908,625,1,,,,,,,,,,,,,,,,,,,,
908,626,1,,,,,,,,,,,,,,,,,,,,
908,637,1,,,,,,,,,,,,,,,,,,,,
908,636,1,,,,,,,,,,,,,,,,,,,,
908,86,1,,,,,,,,,,,,,,,,,,,,
908,353,1,,,,,,,,,,,,,,,,,,,,
908,341,1,,,,,,,,,,,,,,,,,,,,
909,48,1,,,,,,,,,,,,,,,,,,,,
909,49,1,,,,,,,,,,,,,,,,,,,,
909,50,1,,,,,,,,,,,,,,,,,,,,
909,51,1,,,,,,,,,,,,,,,,,,,,
909,57,1,,,,,,,,,,,,,,,,,,,,
909,67,1,,,,,,,,,,,,,,,,,,,,
909,68,1,,,,,,,,,,,,,,,,,,,,
909,69,1,,,,,,,,,,,,,,,,,,,,
909,70,1,,,,,,,,,,,,,,,,,,,,
909,71,1,,,,,,,,,,,,,,,,,,,,
909,72,1,,,,,,,,,,,,,,,,,,,,
909,73,1,,,,,,,,,,,,,,,,,,,,
909,74,1,,,,,,,,,,,,,,,,,,,,
909,79,1,,,,,,,,,,,,,,,,,,,,
909,85,1,,,,,,,,,,,,,,,,,,,,
909,98,1,,,,,,,,,,,,,,,,,,,,
909,107,1,,,,,,,,,,,,,,,,,,,,
909,108,1,,,,,,,,,,,,,,,,,,,,
909,118,1,,,,,,,,,,,,,,,,,,,,
909,121,1,,,,,,,,,,,,,,,,,,,,
909,122,1,,,,,,,,,,,,,,,,,,,,
909,123,1,,,,,,,,,,,,,,,,,,,,
909,128,1,,,,,,,,,,,,,,,,,,,,
909,131,1,,,,,,,,,,,,,,,,,,,,
909,132,1,,,,,,,,,,,,,,,,,,,,
909,133,1,,,,,,,,,,,,,,,,,,,,
909,134,1,,,,,,,,,,,,,,,,,,,,
909,144,1,,,,,,,,,,,,,,,,,,,,
909,146,1,,,,,,,,,,,,,,,,,,,,
909,147,1,,,,,,,,,,,,,,,,,,,,
909,161,1,,,,,,,,,,,,,,,,,,,,
909,163,1,,,,,,,,,,,,,,,,,,,,
909,164,1,,,,,,,,,,,,,,,,,,,,
909,169,1,,,,,,,,,,,,,,,,,,,,
